TRILEGAL simulation: output445007434654 
Source:7
w:22.282799999999998
u:26.149
g:23.912
r:22.934
i:22.565
z:22.39
y:22.28
Microlensing event parameters:
t0:2463209.497026426
u0:0.5384963319145633
tE:120.36462817633613
rho:5.626173252730628
s:0.5441935704027236
q:0.5011209625394742
alpha:0.1441022667195231
piEN:-0.18491065891963493
piEE:0.5704608756459055

band,mjd,mag,magerr,m5
w, 2461508.7638286077, 22.856461035577283, 0.017160562720842657, 27.6
w, 2461508.7742452743, 22.849970936821467, 0.017109349785790286, 27.6
w, 2461508.7846619408, 22.863809071526855, 0.017218730635234974, 27.6
w, 2461508.7950786073, 22.86709089630695, 0.0172447736004104, 27.6
w, 2461508.805495274, 22.88671400154464, 0.017401316978975206, 27.6
w, 2461508.8159119403, 22.886435142880014, 0.01739908245993178, 27.6
w, 2461508.826328607, 22.87175719485126, 0.01728187091012399, 27.6
w, 2461508.8367452733, 22.87175719485126, 0.01728187091012399, 27.6
w, 2461508.84716194, 22.850510299080327, 0.017113600028008578, 27.6
w, 2461508.8575786063, 22.87010797498262, 0.01726875041911954, 27.6
w, 2461508.867995273, 22.821761497635773, 0.01688852096579062, 27.6
w, 2461508.8784119394, 22.874787286441784, 0.017306003017088796, 27.6
w, 2461508.888828606, 22.85212999535996, 0.01712636978481189, 27.6
w, 2461508.8992452724, 22.888109370204454, 0.017412502502389685, 27.6
w, 2461508.909661939, 22.858089640189785, 0.0171734379729134, 27.6
w, 2461508.9200786054, 22.861899244816726, 0.017203593286695556, 27.6
w, 2461508.930495272, 22.863809071526855, 0.017218730635234974, 27.6
w, 2461508.9409119384, 22.88532042388604, 0.017390152984126845, 27.6
w, 2461508.951328605, 22.833647793023406, 0.016981219526733468, 27.6
w, 2461508.9617452715, 22.868187046026264, 0.017253480883772813, 27.6
w, 2461508.972161938, 22.865722263572135, 0.0172339080120338, 27.6
w, 2461508.9825786045, 22.87175719485126, 0.01728187091012399, 27.6
w, 2461508.992995271, 22.84512869596932, 0.017071239566935088, 27.6
w, 2461509.0034119375, 22.856189838821845, 0.01715841965961409, 27.6
w, 2461509.013828604, 22.85456407928959, 0.017145578131314333, 27.6
w, 2461509.0242452705, 22.870932271773896, 0.01727530692777284, 27.6
w, 2461509.034661937, 22.851049929411893, 0.01711785343929036, 27.6
w, 2461509.0450786036, 22.86217187161157, 0.01720575332101717, 27.6
w, 2461509.05549527, 22.855918709789403, 0.017156277401080288, 27.6
w, 2461509.0659119366, 22.853481590461378, 0.017137033113025644, 27.6
